Empoyee_No,Empoyee_Name,FirstName,LastName,JobGrade,Contract_Type,Birthday,Status,Sex,Age,Update_DT,Create_DT


,
,,
,,,
,,,,
,,,,,
,,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,,
Test,,,,,,,,,,,
Test,Test,,,,,,,,,,
Test,Test,Test,,,,,,,,,
Test,Test,Test,Test,,,,,,,,
Test,Test,Test,Test,Test,,,,,,,
Test,Test,Test,Test,Test,Test,,,,,,
Test,Test,Test,Test,Test,Test,Test,,,,,
Test,Test,Test,Test,Test,Test,Test,Test,,,,
Test,Test,Test,Test,Test,Test,Test,Test,Test,,,
Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,,
Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,
Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test
AB0001,Isidro Roob,Isidro,Roob,17,C,1957-05-25,Single,Female,35,2019-01-26,2018-02-14
AB0002,Edmundo Haley,Edmundo,Haley,17,P,1982-11-18,
Marry,Male,29,2019-12-18,2018-09-24
AB0003,Dannie Lind,Dannie,Lind,10,C,1961-12-16,Single,Male,49,2019-05-06,2018-01-14
AB0004,Lee Kirlin,Lee,Kirlin,11,C,1967-07-22,Marry,Male,32,2019-05-10,2018-05-30
AB0005,Cortez Hickle,Cortez,Hickle,18,C,1987-11-06,Single,Female,34,2019-01-26,2018-09-10
AB0006,Velva Feest,Velva,Feest,10,P,1966-04-17,Marry,Male,37,2019-03-19,2018-12-13
AB0007,Asa Conroy,Asa,Conroy,11,P,1991-01-27,Marry,Male,34,2019-09-16,2018-11-12
AB0008,Ira Willms,Ira,Willms,12,P,1986-11-19,Single,Female,32,2019-07-05,2018-05-08
AB0009,Lyman Fritsch,Lyman,Fritsch,14,P,1973-03-09,Marry,Male,47,2019-02-07,2018-03-06
AB0010,Dani Balistreri,Dani,Balistreri,19,P,1965-11-28,Single,Female,40,2019-10-20,2018-05-01
AB0011,Leo Bosco,Leo,Bosco,17,C,1973-08-23,Marry,Male,50,2019-09-08,2018-08-28
AB0012,Bethel Wunsch,Bethel,Wunsch,18,P,1986-06-18,Single,Male,40,2019-10-20,2018-05-11
AB0013,Salvatore Dare,Salvatore,Dare,17,P,1983-09-16,Marry,Female,27,2019-11-15,2018-11-13
AB0014,Renato Lesch,Renato,Lesch,18,C,1986-12-25,Marry,Female,27,2019-02-01,2018-01-08
AB0015,Deidre Becker,Deidre,Becker,11,P,1980-07-23,Single,Male,33,2019-03-17,2018-02-23
AB0016,Melissa Trantow,Melissa,Trantow,16,P,1973-01-22,Single,Female,46,2019-10-10,2018-12-20
AB0017,Mica Corwin,Mica,Corwin,17,C,1978-07-27,Single,Male,46,2019-10-03,2018-02-24
AB0018,Kendall Yundt,Kendall,Yundt,18,P,1970-09-18,Marry,Male,44,2019-06-21,2018-09-23
AB0019,Christel Monahan,Christel,Monahan,11,C,1983-02-12,Single,Female,41,2019-10-05,2018-01-08
AB0020,Wilda Haley,Wilda,Haley,15,P,1974-03-25,Single,Male,27,2019-03-18,2018-06-27
