Empoyee_No,Empoyee_Name,FirstName,LastName,JobGrade,Contract_Type,Birthday,Status,Sex,Age,Update_DT,Create_DT


,
,,
,,,
,,,,
,,,,,
,,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,,
Test,,,,,,,,,,,
Test,Test,,,,,,,,,,
Test,Test,Test,,,,,,,,,
Test,Test,Test,Test,,,,,,,,
Test,Test,Test,Test,Test,,,,,,,
Test,Test,Test,Test,Test,Test,,,,,,
Test,Test,Test,Test,Test,Test,Test,,,,,
Test,Test,Test,Test,Test,Test,Test,Test,,,,
Test,Test,Test,Test,Test,Test,Test,Test,Test,,,
Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,,
Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,
Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test
0001,Collin Jones,Collin,Jones,17,C,1987-01-30,Single,Female,41,2019-02-02,2018-07-21
0002,Moises Jacobs,Moises,Jacobs,13,C,1963-06-05,
Single,Male,49,2019-12-17,2018-10-13
0003,Clarence Bosco,Clarence,Bosco,17,P,1985-07-12,Single,Male,50,2019-07-25,2018-12-28
0004,Hana Stamm,Hana,Stamm,18,P,1959-01-14,Single,Female,50,2019-01-12,2018-03-14
0005,Janelle Lehner,Janelle,Lehner,14,C,1961-02-05,Marry,Male,49,2019-08-18,2018-08-27
0006,Deloise Sanford,Deloise,Sanford,14,P,1986-11-11,Marry,Male,27,2019-07-16,2018-07-02
0007,Alease Dare,Alease,Dare,17,P,1982-10-06,Marry,Male,39,2019-02-16,2018-05-31
0008,Natalya Bednar,Natalya,Bednar,20,C,1994-03-01,Marry,Female,28,2019-03-19,2018-01-29
0009,Emory Jerde,Emory,Jerde,19,P,1992-07-01,Single,Male,35,2019-11-21,2018-12-19
0010,Mason Dach,Mason,Dach,11,C,1990-02-10,Single,Male,43,2019-08-03,2018-10-26
0011,Rey Marquardt,Rey,Marquardt,18,P,1962-07-16,Single,Male,45,2019-01-05,2018-03-12
0012,Merri Auer,Merri,Auer,20,P,1967-04-09,Marry,Female,39,2019-05-25,2018-07-05
0013,Mona Brekke,Mona,Brekke,16,C,1982-06-15,Marry,Male,35,2019-01-15,2018-04-25
0014,Diann Schulist,Diann,Schulist,12,P,1972-08-09,Marry,Male,27,2019-02-14,2018-04-09
0015,Alphonso Powlowski,Alphonso,Powlowski,11,C,1980-11-08,Marry,Male,44,2019-03-29,2018-03-16
0016,Myriam Rau,Myriam,Rau,16,P,1990-07-29,Single,Male,40,2019-01-07,2018-11-08
0017,Arthur Cormier,Arthur,Cormier,14,C,1962-06-30,Single,Female,27,2019-03-13,2018-05-16
0018,Rey Schroeder,Rey,Schroeder,15,C,1976-10-11,Single,Female,46,2019-03-07,2018-04-24
0019,Bradley Kohler,Bradley,Kohler,18,C,1974-02-24,Marry,Male,47,2019-08-20,2018-10-11
0020,Diego Beatty,Diego,Beatty,11,P,1968-05-11,Marry,Female,38,2019-03-05,2018-10-08
0021,Chauncey Jakubowski,Chauncey,Jakubowski,11,P,1996-12-13,Single,Male,39,2019-02-08,2018-12-28
